server_name,score,tool_count,repo_url,grade_page,badge_md
io.github.mcp-dir/feegow-mcp,100,94,https://github.com/mcp-dir/feegow-mcp,https://mcpqueen.com/s/io.github.mcp-dir/feegow-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.mcp-dir/feegow-mcp.svg)](https://mcpqueen.com/s/io.github.mcp-dir/feegow-mcp)
io.github.daniel3303/equibles,100,94,https://github.com/daniel3303/stock-market-mcp-server,https://mcpqueen.com/s/io.github.daniel3303/equibles,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.daniel3303/equibles.svg)](https://mcpqueen.com/s/io.github.daniel3303/equibles)
com.meta-council/decision-intelligence,100,89,https://github.com/daliu/meta-council,https://mcpqueen.com/s/com.meta-council/decision-intelligence,[![MCP Queen grade](https://mcpqueen.com/badge/com.meta-council/decision-intelligence.svg)](https://mcpqueen.com/s/com.meta-council/decision-intelligence)
ai.signal8/mcp,100,87,https://github.com/signal8ai/signal8-mcp,https://mcpqueen.com/s/ai.signal8/mcp,[![MCP Queen grade](https://mcpqueen.com/badge/ai.signal8/mcp.svg)](https://mcpqueen.com/s/ai.signal8/mcp)
io.github.mcp-dir/pagarme-mcp,100,86,https://github.com/mcp-dir/pagarme-mcp,https://mcpqueen.com/s/io.github.mcp-dir/pagarme-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.mcp-dir/pagarme-mcp.svg)](https://mcpqueen.com/s/io.github.mcp-dir/pagarme-mcp)
io.github.dynamitecircle/dc,100,85,https://github.com/dynamitecircle/dc,https://mcpqueen.com/s/io.github.dynamitecircle/dc,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.dynamitecircle/dc.svg)](https://mcpqueen.com/s/io.github.dynamitecircle/dc)
app.saber.mcp/saber,100,84,https://github.com/saberapp/platform,https://mcpqueen.com/s/app.saber.mcp/saber,[![MCP Queen grade](https://mcpqueen.com/badge/app.saber.mcp/saber.svg)](https://mcpqueen.com/s/app.saber.mcp/saber)
io.github.makloai/mcp-server-dashform,100,82,https://github.com/makloai/mcp-server-dashform,https://mcpqueen.com/s/io.github.makloai/mcp-server-dashform,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.makloai/mcp-server-dashform.svg)](https://mcpqueen.com/s/io.github.makloai/mcp-server-dashform)
io.github.aitrailblazer/deltasignal-atlas-7,100,81,https://github.com/aitrailblazer/deltasignal-atlas-codex-plugin,https://mcpqueen.com/s/io.github.aitrailblazer/deltasignal-atlas-7,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.aitrailblazer/deltasignal-atlas-7.svg)](https://mcpqueen.com/s/io.github.aitrailblazer/deltasignal-atlas-7)
io.github.lonniev/personalbrain-mcp,100,81,https://github.com/lonniev/thebrain-mcp,https://mcpqueen.com/s/io.github.lonniev/personalbrain-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.lonniev/personalbrain-mcp.svg)](https://mcpqueen.com/s/io.github.lonniev/personalbrain-mcp)
com.eruditepay/blockchain-intelligence,100,80,https://github.com/EruditeIntelligence/blockchain-intelligence-mcp,https://mcpqueen.com/s/com.eruditepay/blockchain-intelligence,[![MCP Queen grade](https://mcpqueen.com/badge/com.eruditepay/blockchain-intelligence.svg)](https://mcpqueen.com/s/com.eruditepay/blockchain-intelligence)
io.apis/apis-io,100,79,https://github.com/api-search/apis-io-aws,https://mcpqueen.com/s/io.apis/apis-io,[![MCP Queen grade](https://mcpqueen.com/badge/io.apis/apis-io.svg)](https://mcpqueen.com/s/io.apis/apis-io)
io.github.agentlux/agentlux,100,79,https://github.com/agentlux/agentlux-mcp,https://mcpqueen.com/s/io.github.agentlux/agentlux,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.agentlux/agentlux.svg)](https://mcpqueen.com/s/io.github.agentlux/agentlux)
ai.tunnelmind/data,100,78,https://github.com/TunnelMind/tunnelmind-data-api,https://mcpqueen.com/s/ai.tunnelmind/data,[![MCP Queen grade](https://mcpqueen.com/badge/ai.tunnelmind/data.svg)](https://mcpqueen.com/s/ai.tunnelmind/data)
io.github.webberdesign/webbersites-x402-data-api,100,78,https://github.com/webberdesign/api.webbersites.com,https://mcpqueen.com/s/io.github.webberdesign/webbersites-x402-data-api,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.webberdesign/webbersites-x402-data-api.svg)](https://mcpqueen.com/s/io.github.webberdesign/webbersites-x402-data-api)
io.github.benseverndev-oss/goldenmatch,100,77,https://github.com/benseverndev-oss/goldenmatch,https://mcpqueen.com/s/io.github.benseverndev-oss/goldenmatch,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.benseverndev-oss/goldenmatch.svg)](https://mcpqueen.com/s/io.github.benseverndev-oss/goldenmatch)
com.theaslangroupllc.pulse/pulsenetwork,100,76,https://github.com/GTCC777/mcp-pulsenetwork,https://mcpqueen.com/s/com.theaslangroupllc.pulse/pulsenetwork,[![MCP Queen grade](https://mcpqueen.com/badge/com.theaslangroupllc.pulse/pulsenetwork.svg)](https://mcpqueen.com/s/com.theaslangroupllc.pulse/pulsenetwork)
com.webotee/amazon-product-research-mcp,100,76,https://github.com/ncosic/webotee-mcp,https://mcpqueen.com/s/com.webotee/amazon-product-research-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/com.webotee/amazon-product-research-mcp.svg)](https://mcpqueen.com/s/com.webotee/amazon-product-research-mcp)
io.github.CueCrux/vaultcrux-platform,100,76,https://github.com/CueCrux/VaultCrux,https://mcpqueen.com/s/io.github.CueCrux/vaultcrux-platform,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.CueCrux/vaultcrux-platform.svg)](https://mcpqueen.com/s/io.github.CueCrux/vaultcrux-platform)
com.numeratica/mcp,100,76,https://github.com/numeratica/mcp,https://mcpqueen.com/s/com.numeratica/mcp,[![MCP Queen grade](https://mcpqueen.com/badge/com.numeratica/mcp.svg)](https://mcpqueen.com/s/com.numeratica/mcp)
io.emc2ai/einstein,100,75,https://github.com/ChuXo/Eliza,https://mcpqueen.com/s/io.emc2ai/einstein,[![MCP Queen grade](https://mcpqueen.com/badge/io.emc2ai/einstein.svg)](https://mcpqueen.com/s/io.emc2ai/einstein)
io.famulor/famulor-mcp,100,75,https://github.com/bekservice/Famulor-MCP,https://mcpqueen.com/s/io.famulor/famulor-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.famulor/famulor-mcp.svg)](https://mcpqueen.com/s/io.famulor/famulor-mcp)
io.github.CueCrux/vaultcrux-memory-core,100,75,https://github.com/CueCrux/VaultCrux,https://mcpqueen.com/s/io.github.CueCrux/vaultcrux-memory-core,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.CueCrux/vaultcrux-memory-core.svg)](https://mcpqueen.com/s/io.github.CueCrux/vaultcrux-memory-core)
com.aioproductos/mcp,100,71,https://github.com/AIOProductOS/claude-plugin,https://mcpqueen.com/s/com.aioproductos/mcp,[![MCP Queen grade](https://mcpqueen.com/badge/com.aioproductos/mcp.svg)](https://mcpqueen.com/s/com.aioproductos/mcp)
